type,title,country,release_year,duration,listed_in,description,id,popularity,vote_count,vote_average
Movie,20 Feet From Stardom,United States,2013,91 min,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",tt2396566,12.239,161,7.4
Movie,Gaga: Five Foot Two,United States,2017,101 min,"Documentaries, Music & Musicals","Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",tt7291268,15.452,457,7.6
Movie,The Bad Batch,United States,2016,119 min,"Dramas, Independent Movies, Thrillers","Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",tt4334266,24.445,675,5.2
Movie,SMOSH: The Movie,United States,2015,83 min,Comedies,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip.",tt4184878,11.333,151,4.7
Movie,Quincy,United States,2018,124 min,"Documentaries, Music & Musicals","This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",tt0074042,NaN,NaN,NaN
Movie,Between Two Ferns: The Movie,United States,2019,83 min,Comedies,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",tt9398640,15.696,414,6.0
Movie,Daddy Issues,United States,2019,82 min,"Dramas, Independent Movies, LGBTQ Movies","Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well.",tt6271806,5.025,8,4.8
Movie,Maynard,United States,2017,100 min,Documentaries,"Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city.",tt1185430,NaN,NaN,NaN
Movie,Vincent N Roxxy,United States,2016,101 min,"Dramas, Thrillers","In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",tt3704298,7.539,62,5.5
Movie,The Endless,United States,2017,112 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",tt3986820,22.889,511,6.3
Movie,Jerry Before Seinfeld,United States,2017,62 min,Stand-Up Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",tt7310906,7.673,75,6.9
Movie,Class Rank,United States,2018,103 min,Comedies,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.",tt5219972,6.644,30,7.2
Movie,Barbie Dolphin Magic,United States,2017,64 min,Children & Family Movies,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend.",tt7130740,18.001,107,6.6
Movie,Keith Richards: Under the Influence,United States,2015,82 min,"Documentaries, Music & Musicals","In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today.",tt4900018,8.057,42,6.7
Movie,A Haunting at Silver Falls: The Return,United States,2019,80 min,"Horror Movies, Independent Movies","When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",tt6170262,5.313,5,6.0
